Feiertag;Datum;Gesetzlicher Feiertag;Brückentag ;Brückentag_Die;Brückentag_Mit;Brückentag_Don;Langes Wochenende ;Langes_Wochenende_Mon;Langes_Wochenende_Fr;Langes_Wochenende_Sa;Langes_Wochenende_So;Langes_Wochenende_Die
Neujahr;01.01.2012;1;0;0;0;0;0;0;0;0;0;1
Heilige Drei Könige;06.01.2012;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2012;0;0;0;0;0;0;0;0;0;0;0
Altweiber;16.02.2012;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;20.02.2012;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;21.02.2012;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;22.02.2012;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;05.04.2012;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;06.04.2012;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;07.04.2012;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;08.04.2012;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;09.04.2012;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2012;1;1;1;0;0;0;0;0;0;0;0
Himmelfahrt;17.05.2012;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;27.05.2012;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;28.05.2012;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;07.06.2012;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2012;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2012;1;0;0;0;0;0;0;0;0;0;0
Reformationstag;31.10.2012;0;0;0;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2012;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;18.11.2012;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;21.11.2012;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;25.11.2012;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2012;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2012;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2012;1;1;1;0;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2012;1;1;0;1;0;0;0;0;0;0;0
Silvester;31.12.2012;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2013;1;1;1;0;0;0;0;0;0;0;0
Heilige Drei Könige;06.01.2013;0;0;0;0;0;0;0;0;0;0;0
Altweiber;07.02.2013;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;11.02.2013;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;12.02.2013;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;13.02.2013;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2013;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;28.03.2013;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;29.03.2013;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;30.03.2013;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;31.03.2013;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;01.04.2013;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2013;1;0;0;0;0;0;0;0;0;0;0
Himmelfahrt;09.05.2013;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;19.05.2013;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;20.05.2013;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;30.05.2013;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2013;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2013;1;1;0;0;1;0;0;0;0;0;0
Reformationstag;31.10.2013;0;1;0;0;1;0;0;0;0;0;0
Allerheiligen;01.11.2013;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;17.11.2013;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;20.11.2013;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;24.11.2013;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2013;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2013;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2013;1;1;0;1;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2013;1;1;0;0;1;0;0;0;0;0;0
Silvester;31.12.2013;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2014;1;0;0;0;0;0;0;0;0;0;0
Heilige Drei Könige;06.01.2014;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2014;0;0;0;0;0;0;0;0;0;0;0
Altweiber;27.02.2014;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;03.03.2014;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;04.03.2014;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;05.03.2014;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;17.04.2014;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;18.04.2014;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;19.04.2014;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;20.04.2014;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;21.04.2014;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2014;1;1;0;0;1;0;0;0;0;0;0
Himmelfahrt;29.05.2014;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;08.06.2014;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;09.06.2014;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;19.06.2014;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2014;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2014;1;0;0;0;0;1;0;1;0;0;0
Reformationstag;31.10.2014;0;0;0;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2014;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;16.11.2014;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;19.11.2014;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;23.11.2014;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2014;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2014;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2014;1;0;0;0;0;1;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2014;1;0;0;0;0;1;0;1;0;0;0
Silvester;31.12.2014;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2015;1;1;0;0;1;0;0;0;0;0;0
Heilige Drei Könige;06.01.2015;0;0;0;0;0;0;0;0;0;0;0
Altweiber;12.02.2015;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2015;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;16.02.2015;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;17.02.2015;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;18.02.2015;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;02.04.2015;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;03.04.2015;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;04.04.2015;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;05.04.2015;1;0;0;0;0;0;0;0;0;0;0
Ostermontag;06.04.2015;1;0;0;0;0;0;0;0;0;0;0
Erster Mai;01.05.2015;1;0;0;0;0;1;0;1;0;0;0
Himmelfahrt;14.05.2015;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;24.05.2015;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;25.05.2015;1;0;0;0;0;0;0;0;0;0;0
Fronleichnam;04.06.2015;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2015;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2015;1;0;0;0;0;0;0;0;0;0;0
Reformationstag;31.10.2015;0;0;0;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2015;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;15.11.2015;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;18.11.2015;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;22.11.2015;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2015;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2015;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2015;1;0;0;0;0;1;0;1;0;0;0
Zweiter Weihnachtstag;26.12.2015;1;0;0;0;0;0;0;0;0;0;0
Silvester;31.12.2015;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2016;1;0;0;0;0;1;0;1;0;0;0
Heilige Drei Könige;06.01.2016;0;0;0;0;0;0;0;0;0;0;0
Altweiber;04.02.2016;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;08.02.2016;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;09.02.2016;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;10.02.2016;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2016;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;24.03.2016;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;25.03.2016;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;26.03.2016;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;27.03.2016;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;28.03.2016;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2016;1;0;0;0;0;0;0;0;0;0;0
Himmelfahrt;05.05.2016;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;15.05.2016;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;16.05.2016;1;0;0;0;0;0;0;0;0;0;0
Fronleichnam;26.05.2016;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2016;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2016;1;0;0;0;0;1;1;0;0;0;0
Reformationstag;31.10.2016;0;0;0;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2016;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;13.11.2016;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;16.11.2016;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;20.11.2016;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2016;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2016;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2016;1;0;0;0;0;1;0;0;0;1;0
Zweiter Weihnachtstag;26.12.2016;1;0;0;0;0;1;1;0;0;0;0
Silvester;31.12.2016;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2017;1;0;0;0;0;0;0;0;0;0;0
Heilige Drei Könige;06.01.2017;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2017;0;0;0;0;0;0;0;0;0;0;0
Altweiber;23.02.2017;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;27.02.2017;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;28.02.2017;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;01.03.2017;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;13.04.2017;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;14.04.2017;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;15.04.2017;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;16.04.2017;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;17.04.2017;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2017;1;0;0;0;0;1;1;0;0;0;0
Himmelfahrt;25.05.2017;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;04.06.2017;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;05.06.2017;1;0;0;0;0;0;0;0;0;0;0
Fronleichnam;15.06.2017;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2017;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2017;1;1;1;0;0;0;0;0;0;0;0
Reformationstag;31.10.2017;1;1;1;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2017;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;19.11.2017;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;22.11.2017;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;26.11.2017;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2017;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2017;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2017;1;0;0;0;0;1;1;0;0;0;0
Zweiter Weihnachtstag;26.12.2017;1;0;0;0;0;1;0;0;0;0;1
Silvester;31.12.2017;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2018;1;0;0;0;0;1;1;0;0;0;0
Heilige Drei Könige;06.01.2018;0;0;0;0;0;0;0;0;0;0;0
Altweiber;08.02.2018;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;12.02.2018;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;13.02.2018;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;14.02.2018;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2018;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;29.03.2018;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;30.03.2018;1;0;0;0;0;1;0;1;0;0;0
Ostersamstag;31.03.2018;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;01.04.2018;1;0;0;0;0;1;0;0;0;1;0
Ostermontag;02.04.2018;1;0;0;0;0;1;1;0;0;0;0
Erster Mai;01.05.2018;1;1;1;0;0;0;0;0;0;0;0
Himmelfahrt;10.05.2018;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;20.05.2018;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;21.05.2018;1;0;0;0;0;0;0;0;0;0;0
Fronleichnam;31.05.2018;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2018;0;0;0;0;0;;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2018;1;0;0;0;0;0;0;0;0;0;0
Reformationstag;31.10.2018;1;0;0;0;0;0;0;0;0;0;0
Allerheiligen;01.11.2018;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;18.11.2018;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;21.11.2018;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;25.11.2018;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2018;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2018;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2018;1;1;1;0;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2018;1;1;0;1;0;0;0;0;0;0;0
Silvester;31.12.2018;0;0;0;0;0;0;0;0;0;0;0
Neujahr;01.01.2019;1;1;1;0;0;0;0;0;0;0;0
Heilige Drei Könige;06.01.2019;0;0;0;0;0;0;0;0;0;0;0
Valentinstag;14.02.2019;0;0;0;0;0;0;0;0;0;0;0
Altweiber;28.02.2019;0;0;0;0;0;0;0;0;0;0;0
Rosenmontag;04.03.2019;0;0;0;0;0;0;0;0;0;0;0
Veilchendienstag;05.03.2019;0;0;0;0;0;0;0;0;0;0;0
Aschermittwoch;06.03.2019;0;0;0;0;0;0;0;0;0;0;0
Weltfrauentag;08.03.2019;0;0;0;0;0;0;0;0;0;0;0
Grndonnerstag;18.04.2019;0;0;0;0;0;0;0;0;0;0;0
Karfreitag;19.04.2019;1;0;0;0;0;0;0;0;0;0;0
Ostersamstag;20.04.2019;0;0;0;0;0;1;0;0;1;0;0
Ostersonntag;21.04.2019;1;0;0;0;0;0;0;0;0;0;0
Ostermontag;22.04.2019;1;0;0;0;0;0;0;0;0;0;0
Erster Mai;01.05.2019;1;0;0;0;0;0;0;0;0;0;0
Himmelfahrt;30.05.2019;1;1;0;0;1;0;0;0;0;0;0
Pfingstsonntag;09.06.2019;1;0;0;0;0;0;0;0;0;0;0
Pfingstmontag;10.06.2019;1;0;0;0;0;1;1;0;0;0;0
Fronleichnam;20.06.2019;0;0;0;0;0;0;0;0;0;0;0
Maria Himmelfahrt;15.08.2019;0;0;0;0;0;0;0;0;0;0;0
Tag der Deutschen Einheit;03.10.2019;1;1;0;0;1;0;0;0;0;0;0
Reformationstag;31.10.2019;1;1;0;0;1;0;0;0;0;0;0
Allerheiligen;01.11.2019;0;0;0;0;0;0;0;0;0;0;0
Volkstrauertag;17.11.2019;0;0;0;0;0;0;0;0;0;0;0
Buá- und Bettag;20.11.2019;0;0;0;0;0;0;0;0;0;0;0
Totensonntag;24.11.2019;0;0;0;0;0;0;0;0;0;0;0
Nikolaus;06.12.2019;0;0;0;0;0;0;0;0;0;0;0
Heiligabend;24.12.2019;0;0;0;0;0;0;0;0;0;0;0
Erster Weihnachtstag;25.12.2019;1;0;0;0;0;0;0;0;0;0;0
Zweiter Weihnachtstag;26.12.2019;1;1;0;0;1;0;0;0;0;0;0
Silvester;31.12.2019;0;0;0;0;0;0;0;0;0;0;0
